,best_ds,test_errors
0,0.5,9.78494623655914
1,0.5,8.817204301075268
2,1.0,9.301075268817204
3,0.5,8.279569892473118
4,1.0,9.13978494623656
5,1.0,9.13978494623656
6,1.0,8.709677419354838
7,0.5,8.655913978494624
8,0.5,8.494623655913978
9,1.0,9.408602150537634
10,1.0,7.956989247311828
11,0.5,8.064516129032258
12,1.0,9.193548387096774
13,1.0,8.602150537634408
14,0.5,7.526881720430108
15,0.5,8.870967741935484
16,1.0,7.849462365591398
17,1.0,7.795698924731183
18,1.0,8.172043010752688
19,1.0,8.655913978494624
